name,mfr,type,calories,protein,fat,sodium,fiber,carbo,sugars,potass,vitamins,shelf,weight,cups,rating
100% Bran,,C,,0.5999999999999999,0.2,0.40625,0.7142857142857142,0.25000000000000006,0.4375,0.8489425981873111,0.25,1.0,0.5,0.06399999999999997,0.6655927863239148
100% Natural Bran,,C,,0.39999999999999986,1.0,0.046875,0.14285714285714285,0.3750000000000002,0.5625,0.41087613293051356,0.0,1.0,0.5,0.5999999999999999,0.21068455959718047
All-Bran,,C,,0.5999999999999999,0.2,0.8125,0.6428571428571428,0.3333333333333334,0.375,0.9697885196374622,0.25,1.0,0.5,0.06399999999999997,0.5469406126803764
All-Bran with Extra Fiber,,C,,0.5999999999999999,0.0,0.4375,1.0,0.3750000000000002,0.0625,1.0,0.25,1.0,0.5,0.1999999999999999,1.0
Almond Delight,,C,,0.1999999999999999,0.4,0.625,0.07142857142857142,0.6250000000000001,0.5625,0.0,0.25,1.0,0.5,0.39999999999999986,0.21598660919374107
Apple Cinnamon Cheerios,,C,,0.1999999999999999,0.4,0.5625,0.10714285714285714,0.4791666666666669,0.6875,0.21450151057401812,0.25,0.0,0.5,0.39999999999999986,0.1515513831958662
Apple Jacks,,C,,0.1999999999999999,0.0,0.390625,0.07142857142857142,0.5000000000000002,0.9375,0.09365558912386707,0.25,0.5,0.5,0.5999999999999999,0.19998454707703506
Basic 4,,C,,0.39999999999999986,0.4,0.65625,0.14285714285714285,0.7916666666666671,0.5625,0.3051359516616314,0.25,1.0,0.8300000000000001,0.39999999999999986,0.25105992024192947
Bran Chex,,C,,0.1999999999999999,0.2,0.625,0.2857142857142857,0.6666666666666669,0.4375,0.3806646525679758,0.25,0.0,0.5,0.3359999999999999,0.41073956470733736
Bran Flakes,,C,,0.39999999999999986,0.0,0.65625,0.3571428571428571,0.5833333333333335,0.375,0.5770392749244713,0.25,1.0,0.5,0.3359999999999999,0.46616443609697605
Cap'n'Crunch,,C,,0.0,0.4,0.6875,0.0,0.5416666666666669,0.8125,0.10876132930513595,0.25,0.5,0.5,0.39999999999999986,0.0
Cheerios,,C,,0.9999999999999998,0.4,0.90625,0.14285714285714285,0.7500000000000002,0.125,0.3202416918429003,0.25,0.0,0.5,0.7999999999999996,0.4324776191333198
Cinnamon Toast Crunch,,C,,0.0,0.6000000000000001,0.65625,0.0,0.5833333333333335,0.625,0.13897280966767372,0.25,0.5,0.5,0.39999999999999986,0.02353520346214205
Clusters,,C,,0.39999999999999986,0.4,0.4375,0.14285714285714285,0.5833333333333335,0.5,0.3202416918429003,0.25,1.0,0.5,0.1999999999999999,0.2954896642321176
Cocoa Puffs,,C,,0.0,0.2,0.5625,0.0,0.5416666666666669,0.875,0.1691842900302115,0.25,0.5,0.5,0.5999999999999999,0.06203366572316876
